province_state,date,confirmed,deaths,active
Iowa,2020-07-14,37,0,37
Maryland,2020-07-14,2891,96,2795
Missouri,2020-07-14,5,0,5
Nebraska,2020-07-14,48,4,44
Texas,2020-07-14,71,1,70
Missouri,2020-07-14,52,0,52
Minnesota,2020-07-14,11,0,11
New Jersey,2020-07-14,19193,1487,17706
Texas,2020-07-14,18,0,18
Colorado,2020-07-14,5,1,4
Oklahoma,2020-07-14,15,0,15
South Dakota,2020-07-14,72,2,70
California,2020-07-14,167,4,163
Iowa,2020-07-14,61,1,60
Nevada,2020-07-14,91,4,87
Mississippi,2020-07-14,178,10,168
Tennessee,2020-07-14,52,2,50
Texas,2020-07-14,720,8,712
New Jersey,2020-07-14,1095,126,969
Pennsylvania,2020-07-14,260,4,256
Indiana,2020-07-14,93,2,91
Michigan,2020-07-14,80,3,77
Ohio,2020-07-14,264,3,261
South Dakota,2020-07-14,18,0,18
Texas,2020-07-14,81,0,81
North Carolina,2020-07-14,31,0,31
South Dakota,2020-07-14,3,0,3
Louisiana,2020-07-14,1408,52,1356
Louisiana,2020-07-14,857,43,814
Iowa,2020-07-14,24,0,24
Idaho,2020-07-14,13,0,13
California,2020-07-14,8119,141,7978
Arkansas,2020-07-14,79,0,79
Florida,2020-07-14,1337,22,1315
Pennsylvania,2020-07-14,169,6,163
Michigan,2020-07-14,1207,29,1178
California,2020-07-14,37,1,36
Michigan,2020-07-14,218,5,213
Michigan,2020-07-14,122,11,111
Iowa,2020-07-14,63,1,62
Wisconsin,2020-07-14,47,0,47
North Carolina,2020-07-14,1179,10,1169
Texas,2020-07-14,3,0,3
Michigan,2020-07-14,8,1,7
Missouri,2020-07-14,3,0,3
Wisconsin,2020-07-14,17,1,16
Illinois,2020-07-14,176,5,171
Georgia,2020-07-14,107,1,106
Michigan,2020-07-14,163,8,155
Minnesota,2020-07-14,84,0,84
Washington,2020-07-14,206,11,195
Virginia,2020-07-14,237,9,228
Mississippi,2020-07-14,11,1,10
Minnesota,2020-07-14,76,12,64
Mississippi,2020-07-14,152,8,144
Arkansas,2020-07-14,26,1,25
Texas,2020-07-14,13,0,13
Alabama,2020-07-14,472,2,470
Arkansas,2020-07-14,42,0,42
Colorado,2020-07-14,8,0,8
Florida,2020-07-14,652,2,650
Georgia,2020-07-14,548,12,536
Illinois,2020-07-14,359,19,340
Indiana,2020-07-14,481,3,478
Iowa,2020-07-14,72,0,72
Kansas,2020-07-14,124,1,123
Kentucky,2020-07-14,117,14,103
Louisiana,2020-07-14,243,17,226
Michigan,2020-07-14,558,32,526
Minnesota,2020-07-14,58,0,58
Mississippi,2020-07-14,809,19,790
Missouri,2020-07-14,1646,46,1600
North Carolina,2020-07-14,220,1,219
Ohio,2020-07-14,32,0,32
Oklahoma,2020-07-14,72,3,69
Oregon,2020-07-14,187,0,187
South Dakota,2020-07-14,7,1,6
Tennessee,2020-07-14,52,0,52
Texas,2020-07-14,90,1,89
West Virginia,2020-07-14,148,18,130
Wisconsin,2020-07-14,36,1,35
Virginia,2020-07-14,378,16,362
Georgia,2020-07-14,89,1,88
Illinois,2020-07-14,47,7,40
Indiana,2020-07-14,142,2,140
Iowa,2020-07-14,359,17,342
Mississippi,2020-07-14,295,6,289
Missouri,2020-07-14,1056,11,1045
South Carolina,2020-07-14,277,3,274
Texas,2020-07-14,80,1,79
Indiana,2020-07-14,72,0,72
Georgia,2020-07-14,171,3,168
Texas,2020-07-14,5,0,5
Alabama,2020-07-14,7186,174,7012
Arkansas,2020-07-14,900,29,871
Colorado,2020-07-14,3089,217,2872
Florida,2020-07-14,93,4,89
Georgia,2020-07-14,229,2,227
Idaho,2020-07-14,34,0,34
Illinois,2020-07-14,117,17,100
Indiana,2020-07-14,93,2,91
Iowa,2020-07-14,63,0,63
Kansas,2020-07-14,37,0,37
Kentucky,2020-07-14,4661,206,4455
Louisiana,2020-07-14,11450,495,10955
Mississippi,2020-07-14,135,3,132
Missouri,2020-07-14,613,22,591
Montana,2020-07-14,12,0,12
Nebraska,2020-07-14,11,0,11
New York,2020-07-14,100,0,100
Ohio,2020-07-14,132,2,130
Oklahoma,2020-07-14,18,0,18
Oregon,2020-07-14,169,0,169
Pennsylvania,2020-07-14,41,1,40
Tennessee,2020-07-14,196,1,195
Texas,2020-07-14,3665,42,3623
Washington,2020-07-14,44,0,44
West Virginia,2020-07-14,258,4,254
Wisconsin,2020-07-14,369,4,365
Louisiana,2020-07-14,640,14,626
Mississippi,2020-07-14,129,4,125
Georgia,2020-07-14,144,13,131
Indiana,2020-07-14,180,12,168
South Dakota,2020-07-14,39,1,38
Idaho,2020-07-14,315,5,310
Illinois,2020-07-14,45,1,44
Kentucky,2020-07-14,147,0,147
Kansas,2020-07-14,4,0,4
Texas,2020-07-14,34,0,34
Texas,2020-07-14,318,0,318
Illinois,2020-07-14,55,1,54
Arkansas,2020-07-14,427,0,427
Georgia,2020-07-14,132,2,130
Illinois,2020-07-14,28,0,28
Indiana,2020-07-14,1366,118,1248
Iowa,2020-07-14,1493,8,1485
Kansas,2020-07-14,3158,93,3065
Kentucky,2020-07-14,12,0,12
Missouri,2020-07-14,264,1,263
Nebraska,2020-07-14,8,0,8
Tennessee,2020-07-14,49,0,49
Texas,2020-07-14,885,4,881
Wyoming,2020-07-14,22,1,21
North Carolina,2020-07-14,2160,35,2125
Oklahoma,2020-07-14,18,0,18
Georgia,2020-07-14,147,0,147
Iowa,2020-07-14,74,1,73
Mississippi,2020-07-14,1254,50,1204
North Carolina,2020-07-14,43,3,40
South Dakota,2020-07-14,1,0,1
Texas,2020-07-14,607,0,607
Oregon,2020-07-14,64,1,63
Alaska,2020-07-14,52,2,50
Wisconsin,2020-07-14,54,1,53
Pennsylvania,2020-07-14,116,6,110
Michigan,2020-07-14,1252,71,1181
Michigan,2020-07-14,42,2,40
Minnesota,2020-07-14,18,1,17
West Virginia,2020-07-14,434,20,414
Minnesota,2020-07-14,595,1,594
Illinois,2020-07-14,8151,285,7866
Illinois,2020-07-14,1443,66,1377
Missouri,2020-07-14,3215,36,3179
Texas,2020-07-14,86,0,86
Hawaii,2020-07-14,43,0,43
Texas,2020-07-14,1061,5,1056
Oklahoma,2020-07-14,129,8,121
Nebraska,2020-07-14,18,0,18
Kansas,2020-07-14,48,1,47
Nebraska,2020-07-14,6,0,6
Mississippi,2020-07-14,184,14,170
Alaska,2020-07-14,209,2,207
Illinois,2020-07-14,1068,21,1047
Texas,2020-07-14,106,0,106
Texas,2020-07-14,3,0,3
Maine,2020-07-14,147,10,137
Wisconsin,2020-07-14,1796,47,1749
Delaware,2020-07-14,1865,83,1782
Maryland,2020-07-14,205,23,182
Michigan,2020-07-14,5982,145,5837
Rhode Island,2020-07-14,1234,0,1234
Texas,2020-07-14,1,0,1
